工号,姓名,手机号,部门,权重
1129,朱小刚,13879728485,销售部,7
1130,吴小超,13839996324,销售部,9
1131,何小涛,13838021013,技术部,7
1132,吴小涛,13821897606,财务部,12
1133,罗小红,13894064384,市场部,10
1134,杨小红,13893144485,技术部,11
1135,吴小娟,13833886960,销售部,10
1136,杨小军,13826868956,技术部,10
1137,吴小芳,13824084966,销售部,8
1138,王小超,13852266318,市场部,7
1139,孙小伟,13850048398,技术部,8
1140,赵小刚,13825132779,市场部,9
1141,徐小伟,13867221814,销售部,11
1142,罗小丽,13833785136,技术部,7
1143,徐小娟,13887782356,销售部,11
1144,马小超,13857290879,市场部,12
1145,王小明,13887792001,技术部,9
1146,杨小丽,13898516888,市场部,7
1147,陈小红,13825556962,销售部,11
1148,吴小明,13898559568,销售部,12
1149,林小红,13888495324,技术部,7
1150,杨小丽,13816441091,市场部,12
1151,杨小红,13865889626,财务部,12
1152,陈小红,13859907199,市场部,7
1153,黄小丽,13848349027,销售部,8
1154,高小伟,13855350172,财务部,7
1155,杨小芳,13868718093,销售部,9
1156,杨小超,13862787456,财务部,11
1157,徐小红,13828056032,市场部,10
1158,杨小丽,13886582766,销售部,9
1159,赵小刚,13852413718,市场部,12
1160,何小军,13821969947,技术部,9
1161,徐小芳,13867356742,技术部,8
1162,赵小涛,13888824542,财务部,8
1163,罗小军,13835970255,财务部,8
1164,郑小明,13823972798,市场部,11
1165,周小丽,13839613659,销售部,7
1166,何小超,13879004826,技术部,10
1167,杨小丽,13829772219,市场部,8
1168,何小伟,13828074813,销售部,12
1169,罗小超,13858196201,销售部,12
1170,徐小明,13828172698,财务部,8
1171,黄小芳,13842198858,财务部,9
1172,王小涛,13833598935,技术部,8
1173,王小娟,13875754928,销售部,12
1174,吴小伟,13865256516,销售部,12
1175,马小涛,13847959639,销售部,12
1176,王小超,13885439992,销售部,10
1177,何小伟,13878717714,市场部,11
1178,徐小明,13872377568,销售部,10
1179,郑小丽,13861538290,财务部,11
1180,罗小芳,13866402852,市场部,12
1181,周小娟,13812184353,财务部,10
1182,黄小明,13853189758,市场部,9
1183,陈小娟,13874775222,市场部,7
1184,徐小伟,13819797480,市场部,7
1185,赵小芳,13887382713,技术部,11
1186,李小刚,13872501574,市场部,10
1187,张小娟,13828975806,市场部,11
1188,赵小娟,13839037302,市场部,12
1189,朱小超,13832183356,销售部,7
1190,周小丽,13857688483,销售部,10
1191,高小刚,13841881697,市场部,9
1192,孙小军,13833366533,市场部,12
1193,李小丽,13866271750,销售部,12
1194,李小军,13852068744,市场部,8
1195,梁小军,13863248605,财务部,8
1196,梁小超,13865198736,财务部,11
1197,黄小涛,13889479746,财务部,12
1198,林小军,13889033832,财务部,9
1199,李小红,13875212093,财务部,7
1200,周小芳,13878573349,市场部,11
1201,罗小刚,13831900115,技术部,12
1202,张小芳,13872032671,技术部,8
1203,吴小红,13858363712,销售部,11
1204,刘小丽,13814301458,销售部,8
1205,马小丽,13818659743,市场部,12
1206,陈小伟,13844693885,财务部,11
1207,黄小刚,13823159176,技术部,10
1208,高小丽,13893837198,技术部,12
1209,何小芳,13811320646,销售部,10
1210,高小丽,13879183965,财务部,12
1211,朱小娟,13827301608,市场部,7
1212,陈小芳,13837644725,销售部,11
1213,梁小刚,13899703372,技术部,12
1214,梁小伟,13857313811,技术部,11
1215,刘小丽,13856261138,技术部,7
1216,梁小超,13819375261,技术部,7
1217,马小伟,13891637921,市场部,12
1218,黄小军,13882869263,销售部,8
1219,李小军,13897030470,财务部,10
1220,徐小刚,13839089580,技术部,12
1221,王小娟,13883276010,财务部,11
1222,张小丽,13851121546,技术部,9
1223,李小超,13897711132,财务部,7
1224,陈小明,13880973054,技术部,12
1225,徐小丽,13833334228,财务部,7
1226,孙小刚,13864669338,技术部,8
1227,王小芳,13865955890,财务部,11
1228,陈小娟,13865124434,销售部,8
1229,李小娟,13891152215,财务部,9
1230,王小刚,13871459476,销售部,7
1231,何小涛,13868194170,财务部,10
1232,孙小红,13821274274,技术部,11
1233,吴小军,13820084101,技术部,10
1234,李小芳,13844047847,技术部,7
1235,郑小丽,13897759003,技术部,11
1236,高小涛,13861850410,市场部,11
1237,马小刚,13837135013,市场部,12
1238,王小军,13899249395,财务部,7
1239,何小超,13898731895,财务部,12
1240,梁小刚,13832892629,销售部,10
1241,林小军,13893427089,市场部,10
1242,马小红,13824450028,技术部,7
1243,刘小伟,13830553189,销售部,11
1244,李小红,13899919893,技术部,7
1245,李小涛,13862766344,财务部,11
1246,张小明,13841013636,销售部,9
1247,黄小红,13873608415,技术部,10
1248,李小红,13857551486,销售部,11
1249,梁小刚,13885800364,销售部,10
1250,孙小伟,13869637659,销售部,8
1251,林小明,13828294703,销售部,7
1252,陈小超,13872067271,技术部,10
1253,黄小明,13869501767,技术部,11
1254,朱小军,13849979068,财务部,11
1255,吴小伟,13826938193,技术部,9
1256,吴小涛,13828704321,市场部,11
1257,吴小超,13872295426,财务部,10
1258,吴小娟,13856756683,市场部,9
1259,马小娟,13871823447,销售部,12
1260,徐小刚,13852406051,市场部,11
1261,罗小军,13858332118,财务部,7
1262,赵小明,13853728348,市场部,8
1263,李小红,13889830537,技术部,12
1264,朱小军,13881572257,技术部,10
1265,马小红,13864137785,销售部,7
1266,赵小超,13853728330,财务部,12
1267,王小红,13870467778,财务部,12
1268,何小丽,13830745867,技术部,11
1269,马小娟,13845473417,技术部,10
1270,高小明,13880191080,市场部,10
1271,林小刚,13842506491,销售部,8
1272,罗小红,13843547659,市场部,12
1273,林小军,13887878440,市场部,9
1274,刘小红,13855545125,销售部,12
1275,杨小刚,13873654100,市场部,12
1276,林小丽,13849511822,财务部,8
1277,张小伟,13812329795,销售部,11
1278,王小涛,13846745367,市场部,12
1279,梁小明,13860336650,财务部,7
1280,王小娟,13868801526,市场部,9
1281,吴小红,13860175520,财务部,8
1282,黄小刚,13833519365,技术部,7
1283,郑小涛,13889721701,市场部,11
1284,黄小刚,13882784839,技术部,10
1285,徐小红,13843313466,销售部,11
1286,徐小丽,13853438767,市场部,11
1287,刘小红,13837509105,技术部,9
1288,林小丽,13824495648,销售部,10
1289,何小红,13853417998,技术部,10
1290,郑小超,13829305635,技术部,9
1291,郑小涛,13843552207,销售部,11
1292,张小明,13856206779,财务部,10
1293,何小明,13882343253,财务部,11
1294,朱小红,13852052394,技术部,9
1295,王小伟,13894461722,销售部,8
1296,孙小娟,13811011109,财务部,11
1297,郑小超,13834750082,技术部,11
1298,周小明,13839999734,财务部,12
1299,马小军,13836495702,财务部,11
1300,罗小涛,13879098141,市场部,10
1301,黄小军,13870192935,销售部,8
1302,黄小明,13854587853,财务部,11
1303,徐小伟,13821977205,销售部,11
1304,罗小娟,13822345467,市场部,10
1305,郑小明,13891476793,技术部,9
1306,高小红,13828569592,销售部,12
1307,杨小芳,13818396831,销售部,9
1308,林小涛,13829497050,市场部,9
1309,何小芳,13868055617,财务部,7
1310,王小娟,13810444248,技术部,7
1311,杨小芳,13826381669,技术部,11
1312,林小超,13835518032,财务部,10
1313,孙小红,13854686604,销售部,12
1314,王小红,13862531649,技术部,11
1315,周小丽,13899820989,市场部,11
1316,陈小伟,13863498531,销售部,11
1317,林小芳,13832768074,财务部,9
1318,林小芳,13895304980,财务部,10
1319,赵小刚,13872772838,财务部,8
1320,林小伟,13827634463,市场部,10
1321,林小芳,13895357973,市场部,9
1322,梁小明,13820527586,技术部,10
1323,赵小刚,13827000043,市场部,12
1324,王小超,13885000506,财务部,7
1325,何小伟,13812201939,技术部,9
1326,黄小娟,13836334710,市场部,7
1327,吴小伟,13866964020,市场部,9
1328,梁小刚,13843935762,技术部,10
1329,徐小红,13827383364,技术部,10
1330,何小丽,13848704765,财务部,8
1331,朱小娟,13842885820,技术部,7
1332,何小丽,13854771076,市场部,9
1333,高小涛,13879855589,销售部,9
1334,何小超,13862105422,技术部,8
1335,张小芳,13870743510,市场部,12
1336,郑小明,13892356775,市场部,10
1337,林小超,13838225314,财务部,12
1338,何小芳,13871455672,财务部,7
1339,周小军,13836518449,技术部,7
1340,李小超,13837492209,市场部,10
1341,何小丽,13837910568,技术部,12
1342,徐小娟,13890522739,财务部,8
1343,赵小刚,13860321364,技术部,8
1344,黄小刚,13891154487,销售部,8
1345,张小红,13852361506,技术部,8
1346,刘小红,13869128403,技术部,10
1347,周小芳,13892387314,技术部,11
1348,徐小涛,13843947938,销售部,10
1349,高小明,13891970055,技术部,9
1350,吴小刚,13890265891,销售部,11
1351,罗小娟,13895411521,财务部,10
1352,徐小明,13866259908,财务部,8
1353,徐小涛,13820792730,技术部,8
1354,高小芳,13898063316,财务部,12
1355,陈小明,13872726438,技术部,11
1356,刘小涛,13875470496,市场部,9
1357,周小芳,13817562936,技术部,12
1358,林小娟,13892128557,技术部,8
1359,朱小超,13882835694,财务部,8
1360,刘小丽,13853436038,销售部,7
1361,郑小芳,13852545810,市场部,11
1362,刘小明,13855365184,市场部,12
1363,黄小明,13883404299,财务部,12
1364,赵小丽,13822737279,销售部,11
1365,林小红,13832749663,销售部,7
1366,罗小明,13829209010,销售部,12
1367,杨小刚,13869607481,技术部,12
1368,马小超,13858521880,技术部,10
1369,张小娟,13828529320,财务部,7
1370,梁小娟,13891006276,技术部,12
1371,王小超,13811123482,技术部,9
1372,吴小明,13877713769,市场部,9
1373,周小娟,13896407808,技术部,11
1374,黄小娟,13885971515,销售部,7
1375,郑小明,13867878952,市场部,11
1376,杨小超,13868016159,财务部,12
1377,刘小刚,13833971776,财务部,7
1378,郑小刚,13886672328,市场部,7
1379,何小丽,13876174236,财务部,8
1380,王小明,13833465985,市场部,11
1381,陈小娟,13897965667,财务部,9
1382,林小伟,13894573527,市场部,7
1383,罗小红,13851663370,财务部,12
1384,何小超,13869989219,销售部,12
1385,林小超,13865107164,销售部,10
1386,黄小军,13852361069,销售部,9
1387,吴小娟,13872602630,技术部,11
1388,林小超,13867803907,市场部,12
1389,黄小红,13813506644,财务部,12
1390,赵小涛,13826105265,市场部,12
1391,梁小丽,13856242570,财务部,9
1392,马小涛,13832039773,技术部,12
1393,赵小超,13891970157,技术部,12
1394,高小丽,13856674495,销售部,7
1395,马小红,13819621855,销售部,10
1396,林小伟,13892938221,技术部,8
1397,杨小刚,13824339061,市场部,11
1398,高小涛,13852107293,财务部,8
1399,高小芳,13810727574,财务部,12
1400,高小军,13886118503,销售部,12
1401,孙小娟,13882273276,销售部,9
1402,陈小伟,13860196378,财务部,8
1403,郑小伟,13859222549,技术部,7
1404,梁小刚,13853825489,市场部,11
1405,陈小超,13890977651,销售部,12
1406,徐小刚,13834298315,销售部,10
1407,王小红,13898245529,财务部,9
1408,张小丽,13874949449,财务部,8
1409,罗小伟,13815494333,销售部,7
1410,孙小军,13828601215,技术部,10
1411,徐小红,13885138634,财务部,7
1412,罗小红,13847003942,技术部,11
1413,周小丽,13865421623,技术部,8
1414,吴小丽,13813540492,市场部,9
1415,吴小伟,13827132995,市场部,8
1416,朱小红,13838954521,市场部,8
1417,黄小明,13815550998,市场部,11
1418,李小超,13876930538,销售部,12
1419,孙小涛,13814879702,销售部,9
1420,周小红,13835104586,销售部,12
1421,梁小刚,13818140253,财务部,10
1422,林小刚,13886432978,财务部,7
1423,陈小超,13842240991,财务部,10
1424,朱小刚,13854315241,市场部,12
1425,梁小娟,13842545302,销售部,12
1426,朱小红,13830368517,财务部,8
1427,罗小娟,13874502591,销售部,8
1428,林小伟,13888279026,销售部,10
1429,徐小军,13890202593,销售部,8
1430,马小伟,13812481915,销售部,8
1431,周小明,13825656910,市场部,9
1432,孙小娟,13867492140,技术部,11
1433,高小红,13819852072,技术部,11
1434,杨小娟,13818163155,市场部,11
1435,徐小明,13849499265,销售部,7
1436,何小芳,13885453249,财务部,11
1437,陈小军,13890990762,市场部,10
1438,朱小刚,13831993244,技术部,11
1439,徐小军,13812753985,销售部,12
1440,黄小军,13897563427,市场部,8
1441,高小红,13874665555,市场部,7
1442,林小明,13814833752,销售部,9
1443,徐小伟,13863566798,销售部,8
1444,黄小涛,13846245494,财务部,7
1445,张小涛,13877178141,财务部,9
1446,孙小刚,13888596935,财务部,9
1447,朱小红,13824396007,技术部,10
1448,梁小刚,13843425589,财务部,11
1449,陈小芳,13824283305,销售部,12
1450,杨小明,13825629259,技术部,8
1451,梁小明,13888514289,财务部,9
1452,周小芳,13825242645,财务部,12
1453,杨小明,13844561222,销售部,8
1454,陈小刚,13844167471,市场部,9
1455,马小芳,13812030365,财务部,8
1456,马小刚,13828858727,销售部,8
1457,周小芳,13838897862,技术部,9
1458,刘小红,13822396532,销售部,8
1459,吴小娟,13835036090,财务部,7
1460,林小涛,13848432703,市场部,8
1461,王小刚,13817390512,技术部,7
1462,吴小红,13820780893,财务部,10
1463,朱小娟,13810689380,技术部,8
1464,朱小涛,13841519278,销售部,12
1465,杨小超,13833962065,销售部,12
1466,梁小丽,13885091365,财务部,12
1467,林小丽,13837313809,销售部,10
1468,张小涛,13861956341,财务部,9
1469,周小娟,13849830134,销售部,10
1470,高小军,13893681505,销售部,8
1471,陈小军,13857904863,财务部,11
1472,朱小刚,13846193300,技术部,12
1473,高小娟,13858597297,技术部,10
1474,郑小娟,13822780003,财务部,11
1475,何小刚,13811806102,销售部,8
1476,朱小丽,13814299260,技术部,7
1477,高小刚,13892442876,销售部,7
1478,张小涛,13861806024,市场部,11
1479,何小军,13856699327,市场部,10
1480,朱小丽,13878336883,销售部,11
1481,朱小丽,13833914673,技术部,7
1482,杨小刚,13836454559,技术部,10
1483,刘小娟,13846606930,市场部,8
1484,马小丽,13848603695,财务部,12
1485,罗小超,13871554199,财务部,10
1486,赵小明,13813665229,技术部,12
1487,徐小丽,13865308738,销售部,12
1488,赵小军,13812925661,销售部,12
1489,朱小涛,13896969026,销售部,8
1490,高小芳,13858399310,销售部,8
1491,赵小涛,13845561560,财务部,8
1492,罗小红,13845183005,市场部,11
1493,罗小军,13836743639,财务部,12
1494,杨小明,13884656561,财务部,12
1495,郑小丽,13895590973,技术部,11
1496,林小伟,13821710222,财务部,7
1497,李小超,13893573432,销售部,7
1498,罗小娟,13879257677,技术部,12
1499,高小军,13881596453,销售部,9
1500,孙小涛,13848624921,销售部,7
1501,梁小军,13849811279,技术部,9
1502,周小芳,13875951253,市场部,7
1503,杨小超,13863651159,技术部,8
1504,王小丽,13887023396,销售部,12
1505,梁小伟,13832816945,技术部,9
1506,张小明,13897668620,市场部,10
1507,王小伟,13817138269,销售部,10
1508,周小芳,13867479036,销售部,12
1509,马小娟,13842674848,销售部,12
1510,高小芳,13820843069,销售部,8
1511,高小芳,13837923643,技术部,10
1512,李小芳,13856507392,市场部,11
1513,何小超,13887319168,销售部,7
1514,罗小刚,13855799965,销售部,12
1515,高小明,13874270817,市场部,11
1516,罗小超,13884694932,销售部,12
1517,李小伟,13831473499,销售部,11
1518,吴小涛,13864026576,财务部,8
1519,朱小伟,13841681394,技术部,7
1520,陈小红,13827675730,财务部,8
1521,李小明,13839365135,市场部,12
1522,徐小刚,13898319676,技术部,12
1523,林小娟,13876854091,销售部,10
1524,赵小超,13850516153,财务部,11
1525,马小军,13829603866,财务部,12
1526,赵小娟,13866154589,财务部,7
1527,朱小涛,13856622209,技术部,10
1528,陈小伟,13823795591,财务部,10
1529,黄小军,13887125904,技术部,9
1530,何小丽,13889368228,财务部,9
1531,高小红,13858174114,技术部,12
1532,刘小伟,13858024086,技术部,9
1533,孙小超,13860046351,市场部,10
1534,马小伟,13876690583,销售部,12
1535,陈小明,13868631847,销售部,8
1536,吴小丽,13886283319,财务部,11
1537,吴小丽,13872014162,市场部,9
1538,罗小伟,13865332623,财务部,7
1539,梁小丽,13810861018,销售部,9
1540,何小军,13834370270,市场部,8
1541,孙小红,13899874303,技术部,8
1542,赵小伟,13871011156,市场部,12
1543,马小明,13859149904,市场部,8
1544,梁小芳,13898757111,销售部,11
1545,孙小芳,13855894086,销售部,9
1546,周小明,13861124448,技术部,7
1547,高小超,13882322523,销售部,11
1548,李小丽,13864101581,市场部,12
1549,朱小红,13837493720,技术部,11
1550,朱小伟,13882663666,市场部,7
1551,孙小芳,13821458785,销售部,7
1552,陈小涛,13866245833,技术部,10
1553,黄小丽,13815187801,销售部,7
1554,朱小明,13838421053,财务部,11
1555,朱小涛,13838596053,技术部,9
1556,高小超,13841195013,财务部,12
1557,赵小明,13835965729,销售部,9
1558,徐小丽,13869317120,财务部,12
1559,何小伟,13831051955,技术部,12
1560,郑小娟,13828886205,财务部,7
1561,林小明,13897046748,市场部,10
1562,郑小刚,13851520886,市场部,12
1563,林小涛,13842326854,销售部,9
1564,林小刚,13837532205,市场部,12
1565,林小军,13888519313,销售部,11
1566,徐小刚,13835339673,财务部,12
1567,周小涛,13828943216,市场部,8
1568,朱小明,13838617104,技术部,7
1569,李小涛,13885474195,市场部,12
1570,杨小芳,13888162048,市场部,11
1571,梁小刚,13866581248,技术部,9
1572,徐小丽,13864591346,销售部,8
1573,王小涛,13837093386,销售部,12
1574,孙小红,13891815476,市场部,9
1575,罗小军,13855461918,销售部,8
1576,赵小涛,13820148701,销售部,8
1577,杨小超,13830829609,销售部,12
1578,徐小丽,13873595198,财务部,8
1579,朱小刚,13851388473,财务部,8
1580,孙小丽,13869085814,销售部,7
1581,徐小芳,13896965936,财务部,11
1582,杨小军,13821235195,财务部,9
1583,朱小涛,13892258363,技术部,11
1584,徐小伟,13862762031,技术部,10
1585,何小丽,13848362607,市场部,11
1586,马小红,13832930252,技术部,7
1587,徐小芳,13833270131,市场部,9
1588,高小涛,13856359091,财务部,8
1589,吴小刚,13895746543,财务部,11
1590,高小超,13825090791,销售部,7
1591,杨小超,13882121982,销售部,9
1592,周小超,13850549218,销售部,10
1593,张小红,13815404829,财务部,10
1594,陈小刚,13838626217,财务部,11
1595,高小丽,13847584716,销售部,10
1596,陈小明,13892541754,技术部,7
1597,李小娟,13878927179,技术部,7
1598,徐小芳,13874918113,技术部,10
1599,周小刚,13864801909,财务部,12
1600,陈小明,13893524878,市场部,7
1601,杨小芳,13899003817,市场部,9
1602,刘小刚,13882761564,市场部,9
1603,陈小军,13817175406,技术部,8
1604,郑小明,13875368607,市场部,10
1605,黄小丽,13875027623,财务部,11
1606,林小涛,13819440069,技术部,8
1607,赵小娟,13869198368,财务部,11
1608,徐小娟,13886684033,财务部,11
1609,张小丽,13853024890,技术部,12
1610,林小丽,13894647540,财务部,9
1611,梁小丽,13830505058,技术部,10
1612,张小涛,13815304258,财务部,11
1613,马小丽,13825532586,销售部,9
1614,郑小刚,13898402181,技术部,8
1615,高小超,13891221238,市场部,8
1616,梁小军,13848238222,技术部,9
1617,黄小芳,13866295282,销售部,10
1618,罗小军,13898948917,技术部,9
1619,林小涛,13840572134,财务部,9
1620,陈小红,13888216438,市场部,7
1621,孙小丽,13856564209,销售部,12
1622,马小伟,13854244691,销售部,7
1623,梁小红,13884489173,技术部,10
1624,周小娟,13827134339,市场部,10
1625,朱小丽,13863390496,市场部,12
1626,周小娟,13882244081,财务部,10
1627,徐小超,13897205517,财务部,8
1628,刘小红,13829357429,技术部,8
1629,林小伟,13837277262,销售部,8
1630,梁小军,13866086993,财务部,7
1631,刘小娟,13812278422,销售部,9
1632,孙小涛,13892942756,财务部,11
1633,何小涛,13896826104,市场部,9
1634,刘小涛,13840737263,销售部,10
1635,高小伟,13830558586,技术部,10
1636,梁小刚,13847542087,市场部,8
1637,李小涛,13871991088,销售部,7
1638,孙小芳,13881116090,技术部,9
1639,王小超,13847751503,市场部,8
1640,马小丽,13839295567,财务部,9
1641,李小丽,13888400516,技术部,11
1642,何小伟,13861287617,销售部,9
1643,朱小娟,13818484602,技术部,9
1644,林小红,13892805160,技术部,10
1645,孙小涛,13822143522,技术部,9
1646,王小明,13857759427,市场部,12
1647,刘小明,13866559639,技术部,7
1648,孙小超,13813945562,市场部,9
1649,郑小军,13832191244,技术部,9
1650,徐小超,13893031449,财务部,11
1651,徐小刚,13879300002,技术部,7
1652,罗小丽,13868568408,市场部,11
1653,王小明,13856911139,市场部,9
1654,朱小涛,13837308798,财务部,8
1655,林小明,13855436623,市场部,12
1656,吴小明,13810740328,市场部,12
1657,杨小芳,13884651380,技术部,10
1658,周小刚,13826632430,财务部,10
1659,李小刚,13812839380,财务部,12
1660,赵小红,13835819570,技术部,8
1661,周小伟,13867056221,技术部,7
1662,周小芳,13888839486,销售部,9
1663,罗小刚,13840639133,市场部,12
1664,周小伟,13859200823,财务部,10
1665,张小军,13816244689,市场部,9
1666,陈小军,13841038154,销售部,12
1667,何小红,13863671257,市场部,12
1668,高小明,13895908913,市场部,12
1669,赵小芳,13825912438,销售部,9
1670,梁小娟,13819593975,销售部,11
1671,林小伟,13862341154,销售部,9
1672,马小明,13834220792,销售部,9
1673,郑小丽,13883338151,市场部,12
1674,黄小涛,13846110790,市场部,7
1675,何小超,13874080122,销售部,8
1676,高小芳,13817146388,市场部,7
1677,杨小军,13826913418,技术部,10
1678,罗小超,13875630942,销售部,9
1679,朱小娟,13890430146,技术部,7
1680,罗小娟,13821749670,技术部,10
1681,何小红,13818312824,市场部,8
1682,高小伟,13870126304,市场部,11
1683,何小刚,13861618332,技术部,12
1684,周小军,13896012677,销售部,9
1685,梁小超,13825174480,财务部,10
1686,刘小涛,13860428665,市场部,10
1687,孙小涛,13824631449,销售部,8
1688,高小军,13832340422,财务部,12
1689,张小明,13899193301,财务部,10
1690,梁小超,13824815492,市场部,11
1691,林小丽,13841725322,财务部,10
1692,刘小芳,13830051084,技术部,7
1693,何小涛,13810104239,销售部,7
1694,高小刚,13894123972,技术部,11
1695,陈小军,13841811644,财务部,8
1696,张小涛,13829002007,销售部,11
1697,朱小伟,13810571541,销售部,8
1698,梁小伟,13830507744,市场部,10
1699,郑小超,13882874205,技术部,11
1700,孙小伟,13866220441,技术部,12
1701,杨小超,13867769300,财务部,9
1702,张小娟,13883564941,销售部,7
1703,罗小芳,13851403444,财务部,9
1704,杨小丽,13821075832,财务部,10
1705,陈小芳,13895250140,技术部,9
1706,张小丽,13877850301,财务部,9
1707,孙小军,13864211449,技术部,7
1708,朱小超,13826687822,市场部,9
1709,梁小芳,13864590707,财务部,12
1710,徐小明,13839916478,销售部,7
1711,周小红,13873511807,销售部,11
1712,罗小红,13848329094,销售部,11
1713,刘小明,13888050316,财务部,11
1714,周小娟,13850813967,市场部,12
1715,周小刚,13885121782,销售部,9
1716,郑小娟,13840788312,销售部,10
1717,孙小明,13862473326,销售部,10
1718,李小刚,13890617033,财务部,12
1719,孙小丽,13867732765,财务部,7
1720,孙小涛,13840184932,技术部,10
1721,罗小娟,13848224051,销售部,11
1722,高小娟,13812889846,市场部,11
1723,刘小红,13833372358,市场部,11
1724,孙小超,13886919953,销售部,8
1725,赵小娟,13817430792,市场部,12
1726,罗小娟,13879586757,技术部,9
1727,林小刚,13811400123,财务部,7
1728,林小伟,13879704659,销售部,9
